User Name: John	ID: 00030
Tuesday, October 04, 2016 5:25:36 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:25:37 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:25:38 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:25:38 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:25:39 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:25:40 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:25:40 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:25:41 PM	normal	click Account Info tab
Tuesday, October 04, 2016 5:25:42 PM	normal	show the summary of the user's accounts
Tuesday, October 04, 2016 5:25:43 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:25:52 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:25:54 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:25:54 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:25:55 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:25:55 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:25:55 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:25:56 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:25:56 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:25:58 PM	normal	click Transfer tab
Tuesday, October 04, 2016 5:25:59 PM	normal	transfer between the user's accounts
Tuesday, October 04, 2016 5:26:05 PM	normal	successfully transfer $50from the saving acount to the checking account
Tuesday, October 04, 2016 5:26:10 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:26:11 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:26:11 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:26:12 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:26:12 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:26:13 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:26:13 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:26:14 PM	normal	click Cash tab
Tuesday, October 04, 2016 5:26:15 PM	normal	select the checking account to withdrawl cash
Tuesday, October 04, 2016 5:26:16 PM	normal	type "1" in the withdrawl amount setting
Tuesday, October 04, 2016 5:26:17 PM	normal	type "0" in withdrawl amount setting
Tuesday, October 04, 2016 5:26:17 PM	normal	type "0" in withdrawl amount setting
Tuesday, October 04, 2016 5:26:17 PM	normal	successfully withdrawl cash $100 from the user's checking account

User Name: John	ID: 00030
Tuesday, October 04, 2016 5:55:54 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:55:55 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:55:55 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:55:55 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:55:56 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:55:56 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:55:56 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:56:06 PM	normal	click Account Info tab
Tuesday, October 04, 2016 5:56:06 PM	normal	show the summary of the user's accounts
Tuesday, October 04, 2016 5:56:07 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:56:16 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:56:18 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:56:19 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:56:19 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:56:20 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:56:20 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:56:21 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:56:21 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:56:24 PM	normal	click Transfer tab
Tuesday, October 04, 2016 5:56:25 PM	normal	transfer between the user's accounts
Tuesday, October 04, 2016 5:56:32 PM	normal	successfully transfer $50from the saving acount to the checking account
Tuesday, October 04, 2016 5:56:38 PM	normal	select English as the user's language
Tuesday, October 04, 2016 5:56:39 PM	normal	type "1" in the PIN number
Tuesday, October 04, 2016 5:56:39 PM	normal	type "2" in the PIN number
Tuesday, October 04, 2016 5:56:40 PM	normal	type "3" in the PIN number
Tuesday, October 04, 2016 5:56:40 PM	normal	type "4" in the PIN number
Tuesday, October 04, 2016 5:56:41 PM	normal	clear PIN number
Tuesday, October 04, 2016 5:56:41 PM	normal	enter the PIN number and successfully sign in
Tuesday, October 04, 2016 5:56:43 PM	normal	click Cash tab
Tuesday, October 04, 2016 5:56:44 PM	normal	select the checking account to withdrawl cash
Tuesday, October 04, 2016 5:56:45 PM	normal	type "2" in withdrawl amount setting
Tuesday, October 04, 2016 5:56:45 PM	normal	type "0" in withdrawl amount setting
Tuesday, October 04, 2016 5:56:53 PM	normal	clear the withdrawl amount
Tuesday, October 04, 2016 5:56:53 PM	normal	clear the withdrawl amount
Tuesday, October 04, 2016 5:56:54 PM	normal	type "2" in withdrawl amount setting
Tuesday, October 04, 2016 5:56:54 PM	normal	type "0" in withdrawl amount setting

User Name: John	ID: 00030
Wednesday, October 05, 2016 10:14:11 AM	normal	select English as the user's language
Wednesday, October 05, 2016 10:14:12 AM	normal	type "1" in the PIN number
Wednesday, October 05, 2016 10:14:12 AM	normal	type "2" in the PIN number
Wednesday, October 05, 2016 10:14:12 AM	normal	type "3" in the PIN number
Wednesday, October 05, 2016 10:14:13 AM	normal	type "4" in the PIN number
Wednesday, October 05, 2016 10:14:13 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:14:13 AM	normal	enter the PIN number and successfully sign in
Wednesday, October 05, 2016 10:14:16 AM	normal	click Account Info tab
Wednesday, October 05, 2016 10:14:17 AM	normal	show the summary of the user's accounts
Wednesday, October 05, 2016 10:14:18 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:14:27 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:14:28 AM	normal	select English as the user's language
Wednesday, October 05, 2016 10:14:29 AM	normal	type "1" in the PIN number
Wednesday, October 05, 2016 10:14:29 AM	normal	type "2" in the PIN number
Wednesday, October 05, 2016 10:14:30 AM	normal	type "3" in the PIN number
Wednesday, October 05, 2016 10:14:30 AM	normal	type "4" in the PIN number
Wednesday, October 05, 2016 10:14:30 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:14:30 AM	normal	enter the PIN number and successfully sign in
Wednesday, October 05, 2016 10:14:33 AM	normal	click Transfer tab
Wednesday, October 05, 2016 10:14:34 AM	normal	transfer between the user's accounts
Wednesday, October 05, 2016 10:14:39 AM	normal	successfully transfer $50from the saving acount to the checking account
Wednesday, October 05, 2016 10:14:45 AM	normal	select English as the user's language
Wednesday, October 05, 2016 10:14:47 AM	normal	type "1" in the PIN number
Wednesday, October 05, 2016 10:14:47 AM	normal	type "2" in the PIN number
Wednesday, October 05, 2016 10:14:48 AM	normal	type "3" in the PIN number
Wednesday, October 05, 2016 10:14:48 AM	normal	type "4" in the PIN number
Wednesday, October 05, 2016 10:14:49 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:14:49 AM	normal	enter the PIN number and successfully sign in
Wednesday, October 05, 2016 10:14:50 AM	normal	click Cash tab

User Name: John	ID: 00030
Wednesday, October 05, 2016 10:16:21 AM	normal	select English as the user's language
Wednesday, October 05, 2016 10:16:22 AM	normal	type "1" in the PIN number
Wednesday, October 05, 2016 10:16:22 AM	normal	type "2" in the PIN number
Wednesday, October 05, 2016 10:16:23 AM	normal	type "3" in the PIN number
Wednesday, October 05, 2016 10:16:24 AM	normal	type "4" in the PIN number
Wednesday, October 05, 2016 10:16:24 AM	normal	clear PIN number
Wednesday, October 05, 2016 10:16:24 AM	normal	enter the PIN number and successfully sign in
Wednesday, October 05, 2016 10:16:39 AM	normal	click Account Info tab
Wednesday, October 05, 2016 10:16:40 AM	normal	show the summary of the user's accounts
